voterId,name,dob,city,state
12bf9,Joseph Jones,01-01-2000,Shieldsfurt,Shieldsfurt
12bf10,Samantha Valdez DDS,02-01-2000,Leeport,Leeport
12bf11,Andrew Jones,03-01-2000,Lloydton,Lloydton
12bf12,Michele Henry,04-01-2000,Bookerborough,Bookerborough
12bf13,Kaitlin Forbes,05-01-2000,East Rebecca,East Rebecca
12bf14,Louis Martin,06-01-2000,Lukeport,Lukeport
12bf15,Keith Frost,07-01-2000,Patelville,Patelville
12bf16,Alison Roy,08-01-2000,Port Albertshire,Port Albertshire
12bf17,Shawn Williams,09-01-2000,South Robertstad,South Robertstad
12bf18,Chelsey Fry,10-01-2000,West Sarah,West Sarah
12bf19,Barbara Gardner,11-01-2000,Danielville,Danielville
12bf20,Sonia Smith DDS,12-01-2000,South Lauriefurt,South Lauriefurt
12bf21,Tina Larson,13-01-2000,Davidstad,Davidstad
12bf22,Erin Valencia,14-01-2000,Timothyport,Timothyport
12bf23,Rebecca Pham,15-01-2000,West Kimberly,West Kimberly
12bf24,John Brandt,16-01-2000,Vincentton,Vincentton
12bf25,Roger Morgan,17-01-2000,Hudsonshire,Hudsonshire
12bf26,Tyler Burns,18-01-2000,Johnview,Johnview
12bf27,Dawn Castillo,19-01-2000,Andreaborough,Andreaborough
12bf28,Melanie Brown,20-01-2000,Catherinetown,Catherinetown
12bf29,Mrs. Susan Bailey,21-01-2000,Nicolasberg,Nicolasberg
12bf30,Gregory Mason,22-01-2000,Lake Lisa,Lake Lisa
12bf31,Michelle Duran,23-01-2000,Martinfurt,Martinfurt
12bf32,Aaron Ryan,24-01-2000,North Carlosmouth,North Carlosmouth
12bf33,Jeanette Roy,25-01-2000,East Sonyamouth,East Sonyamouth
12bf34,Robert Raymond,26-01-2000,Lake Jennifer,Lake Jennifer
12bf35,Frederick Logan,27-01-2000,South Jamesfurt,South Jamesfurt
12bf36,Krystal Mckenzie,28-01-2000,Johntown,Johntown
12bf37,Michael Davis,29-01-2000,Ashleyshire,Ashleyshire
12bf38,Matthew Kim MD,30-01-2000,Brittanyberg,Brittanyberg
12bf39,Christine Jones,31-01-2000,Greerchester,Greerchester
12bf40,William Choi DDS,01-02-2000,North Lauren,North Lauren
12bf41,Joseph Henderson,02-02-2000,Baileyville,Baileyville
12bf42,Ryan Thomas,03-02-2000,Port Davidbury,Port Davidbury
12bf43,Amy Pugh,04-02-2000,Paulhaven,Paulhaven
12bf44,John Smith,05-02-2000,New Sarahmouth,New Sarahmouth
12bf45,Angela Rosales,06-02-2000,New Gabrielfurt,New Gabrielfurt
12bf46,Carl Thomas,07-02-2000,Ryanhaven,Ryanhaven
12bf47,Michael Dunn,08-02-2000,Walterport,Walterport
12bf48,Shannon Shepard,09-02-2000,Leebury,Leebury
12bf49,Bryan Kerr,10-02-2000,Port Laurastad,Port Laurastad
12bf50,Shawn Blevins,11-02-2000,Santiagoview,Santiagoview
12bf51,Eric Parker,12-02-2000,New Justinburgh,New Justinburgh
